country,primary_theme,all_themes,text
United States of America,other,,I do not know enough about AI to fairly answer this question
United States of America,other,,I don’t know
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Models need to be built by a diverse population and pulled from a diverse data set
United States of America,collect_more_representative_data,collect_more_representative_data,"Include in planning, Seek out additional data sources"
United States of America,other,,"Not assume all 'women' are the same (i.e., you are a woman, you must want doula services).  Need to stop being so 'generic/general'"
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I'm not sure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure
United States of America,other,,Broad surveys
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,"More open discussions, small-scale open discussions"
United States of America,collect_more_representative_data,collect_more_representative_data,I believe organizations should minimize all bias including gender in order to create a more comprehensive and adaptable AI model for all.
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles;no_action_not_my_company_literacy,More women in AI
United States of America,collect_more_representative_data,collect_more_representative_data,"strucutre the AI models to look for better representation of data, giving notice if data is only available for certain gender or groups"
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,don't know/not applicable
United States of America,other,,more research / understanding
United States of America,collect_more_representative_data,collect_more_representative_data,Seek information from other data sources to fill in the gaps
Canada,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles;no_action_not_my_company_literacy,"Actively recruit more women and collect more long-term data on outcomes for women patients, specifically."
United States of America,clinical_trial_diversity,clinical_trial_diversity,"more inclusive clinical trials (not just gender, but gender breakdown by different racial groups)"
United States of America,other,,"Deliberately incorporate womens health databases, even if the n is smaller than for a male population"
United States of America,other,,adding secondary endpoints in pediatric trials to account for patients that may reach puberty early and account for that data appropriately.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
United States of America,collect_more_representative_data,collect_more_representative_data;no_action_not_my_company_literacy,Capture gender in the data collection  - require it of their vendors
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,have female-specific models
Ireland,other,,More inputs and engagement of women
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I'm not sure I'm familiar enough with the concept to have additional input
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not relying on research that is primarily driven by men's data rather than focusing on how women are affected
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,"It does not fit all, all women are different. It all depends on our genes, age, income, etc. We might not have the same benefits and resources"
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Unsure but would like to learn more
Portugal,other,,Not enough knowledge to add here
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
United States of America,collect_more_representative_data,collect_more_representative_data;education_awareness,"More interviews with our working women.  We have one generic survey annually, and don't gather insights directly from women."
Austria,collect_more_representative_data,collect_more_representative_data;bias_audit_fairness_testing;sex_stratified_data_models;regulatory_standards_policy;no_action_not_my_company_literacy,"Diverse Data Collection: Ensure datasets include a balanced representation of women across age, race, and medical conditions, capturing gender-specific symptoms, outcomes, and experiences.    Bias Audits: Regularly audit AI models for gender bias by analyzing model performance across genders and correcting disparities in prediction accuracy and treatment recommendations.    Incorporate Gender-Specific Variables: Integrate gender-specific biological and social factors into the models, such as hormonal differences or pregnancy-related health concerns.    Collaboration with Experts: Engage interdisciplinary teams, including gender and healthcare specialists, to ensure AI models reflect women’s health needs and mitigate bias in design and implementation.    Transparency and Reporting: Mandate transparency in how models are developed, ensuring that gender representation is monitored and openly reported during model evaluation and deployment.    Continuous Feedback: Collect ongoing patient and clinician feedback to identify any gender-related biases that arise post-deployment and adjust models accordingly."
,collect_more_representative_data,collect_more_representative_data,Be careful about representation.
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,More women in leadership to lend a voice
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,unsure
Canada,no_action_not_my_company_literacy,no_action_not_my_company_literacy,"Increase funding and selection of research projects looking at women’s health, mechanisms and impact of perimenopause on all health conditions which can begin as early as 35 years old ! Then you will have appropriate, accurate and sufficient data to address gender bias in AI"
United States of America,regulatory_standards_policy,regulatory_standards_policy;no_action_not_my_company_literacy,"I think it would be interesting to erase gender and color data from AI models, I know long term it might not be sustainable or helpful, but instead of placing the gender and color at the end, possibly feeding the computer all the data about the condition and seeing what the AI model recommends for different people so the healthcare provider, might be able to see the options for treatment and take certain things more seriously. For example, if a woman comes in complaining about leg pain, the computer just receives the leg pain information, then the computer spits out if such and such is a white male we recommend (Y) if such and such is female we recommend (X) this would help healthcare providers see bias in AI models as well as hopefully improve standard of care for women and POC."
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,Ensuring that women are present in key discussions at all levels; partnering with our gender parity-focused employee resource group and external organizations (such as HBA) that similarly focus on that; ensuring that gender parity is part of discussions with any external vendors with whom we partner for work that involves use of AI models/tools.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,no idea
Colombia,collect_more_representative_data,collect_more_representative_data,Provide more information to all employes
United States of America,other,,"My organization is doing good work in this area but the bias is intrinsic in the data, so accounting for that is a tough but important issue."
Latvia,other,,Actually work with women/women data to improve AI models
Switzerland,other,,make a decision
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure. I would look for an expert to help.
Switzerland,education_awareness,education_awareness,Awareness about gender bias  Active role to change
Germany,other,,Surveys
Switzerland,other,,"Include women`s data, including from different races and ethnicities. Take into account hormonal changes, birth control intake, endometriosis, ..."
Switzerland,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles,Increase more women data and train the AI to consider these edge cases abit more.
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,no idea
Spain,sex_stratified_data_models,sex_stratified_data_models,Gender balance in studies
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,AI is only as clever as the data we feed it with. We should be very careful to not just repeat/reproduce the currently existing gender healthgap in the AI space. I already saw some very mysogynious and excluding outcomes e.g. asking for a picture of a flight attendend. We tend to assume that written on a screen by AI it has to be true. We need to be super careful with this.
Hungary,other,,"Steps mentioned above, I believe"
Switzerland,collect_more_representative_data,collect_more_representative_data,more comprehensive dataset
Switzerland,collect_more_representative_data,collect_more_representative_data,check if they are bias and if they are stop using them until more data is collected
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Stop blanketly supporting every AI developments. Even women employees are jumping on the AI bandwagon and ignore or openly dispute any claims of AI gaps.
Switzerland,collect_more_representative_data,collect_more_representative_data,collect more data and investigate  women's issues with targeted interviews
Switzerland,no_action_not_my_company_literacy,no_action_not_my_company_literacy,N/A
Switzerland,other,,train the AI with women data
United States of America,other,,"Since my organization doesn’t provide me with healthcare, anything would be a good start."
United States of America,collect_more_representative_data,collect_more_representative_data;women_in_leadership_ai_roles;no_action_not_my_company_literacy,Collect more women and men and women of color data. You do not need more white male data. Add to what exist.
Canada,collect_more_representative_data,collect_more_representative_data;no_action_not_my_company_literacy,It starts with considering a gender bias. Variables collected are not specific enough to women's health if you are not focused on a disease state that is in women's health.
United States of America,education_awareness,education_awareness;no_action_not_my_company_literacy,Proactively build new databases after raising awareness of their support of women's health and the resources we have.  It still won't be perfect given how embedded bias is (even in ourselves) - though better than the data that exists.
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,need to check what the AI model has been based on and do internal testing of model to check for bias
Canada,no_action_not_my_company_literacy,no_action_not_my_company_literacy,not sure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I am not sure
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I don't know
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Our business is not using AI models for healthcare decisions. We are a biotech not a hospital or healthcare company.
India,no_action_not_my_company_literacy,no_action_not_my_company_literacy,Not sure
Canada,education_awareness,education_awareness;no_action_not_my_company_literacy,Not aware
United States of America,other,,I think my company has been trying to ensure the models are as low biased as possible.  I think confirming with patients that their needs are being met is key
Canada,collect_more_representative_data,collect_more_representative_data,Recollect more  data about employee women’s needs
Singapore,no_action_not_my_company_literacy,no_action_not_my_company_literacy,dont know
United States of America,no_action_not_my_company_literacy,no_action_not_my_company_literacy,I am not familiar with the use of AI models and cannot comment.
United States of America,collect_more_representative_data,collect_more_representative_data,Gather more data on women's healthcare needs
United States of America,other,,Have women of all ages in the process of creating the models
Belgium,bias_audit_fairness_testing,bias_audit_fairness_testing;education_awareness,Be aware of and take into account potential bias when developing algorithms
